sec,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
-3.452,0,0,-5,-6,-1,0,-1,1
-3.448,3,0,4,1,2,2,-4,-2
-3.444,0,1,10,10,1,-4,-1,0
-3.44,-5,-2,6,5,2,-7,0,2
-3.436,0,-1,-2,-4,4,-2,2,2
-3.432,6,4,-3,-5,-1,11,0,0
-3.428,5,2,-3,1,-4,8,1,2
-3.424,-1,0,-2,2,-1,-3,0,0
-3.42,-3,-1,-1,0,0,-7,0,-1
-3.416,1,2,2,-1,0,2,0,-4
-3.412,2,2,3,-1,1,-2,-1,-1
-3.408,0,1,1,1,3,-8,-1,2
-3.404,0,-2,2,3,1,0,0,2
-3.4,0,0,-1,-1,-1,10,0,2
-3.396,-1,3,-4,-6,-4,6,2,0
-3.392,-2,0,-4,-1,-2,-1,0,0
-3.388,0,-4,0,9,-1,-7,0,-1
-3.384,4,1,1,3,2,-8,-1,-2
-3.38,2,6,2,-6,2,-2,0,0
-3.376,-1,2,3,-6,1,4,-2,1
-3.372,0,-4,-1,-2,0,5,-1,2
-3.368,3,-4,-3,2,0,3,-1,0
-3.364,-1,-1,-3,3,-2,-2,0,0
-3.36,0,5,1,0,-1,-4,0,0
-3.356,3,7,3,-1,0,-2,0,0
-3.352,-1,0,1,0,2,-3,-1,0
-3.348,-8,-6,-1,2,1,-2,-2,0
-3.344,0,1,-4,-2,-1,1,1,2
-3.34,10,1,-3,-4,-1,1,1,-1
-3.336,6,-3,1,0,0,1,0,0
-3.332,-2,0,0,3,0,0,0,0
-3.328,-4,7,1,4,-1,-3,0,0
-3.324,-2,-1,3,0,0,-5,-1,0
-3.32,0,-5,3,-3,-2,-1,0,1
-3.316,4,0,-1,-4,1,2,0,0
-3.312,5,8,-4,-1,0,4,0,0
-3.308,3,4,-5,0,0,0,0,-1
-3.304,0,-1,0,2,0,-3,0,0
-3.3,-2,-7,6,1,0,0,0,0
-3.296,0,-4,3,-3,1,6,-1,1
-3.292,2,5,-1,-1,2,1,0,0
-3.288,1,8,1,0,1,-7,1,0
-3.284,-1,3,0,0,-3,-5,1,0
-3.28,-1,0,-6,0,-1,3,0,0
-3.276,1,0,-2,1,-1,2,-3,2
-3.272,5,-4,5,2,0,3,-2,2
-3.268,1,-2,0,-3,1,0,0,0
-3.264,-3,6,-4,-2,2,-3,1,-2
-3.26,-2,7,-1,1,1,-2,-1,0
-3.256,2,0,1,0,-1,8,-1,0
-3.252,3,-3,1,1,0,0,0,0
-3.248,0,0,3,1,0,-11,0,1
-3.244,-1,0,5,0,0,-2,0,-1
-3.24,-1,0,-4,0,1,7,0,0
-3.236,-1,4,-9,0,2,6,0,0
-3.232,0,4,-1,-1,1,-2,0,1
-3.228,3,0,2,0,0,-4,1,0
-3.224,3,-1,2,3,1,0,-2,-1
-3.22,3,0,4,1,0,1,-1,-2
-3.216,-2,-1,3,-3,0,-2,0,0
-3.212,-7,0,-2,-2,0,-4,0,2
-3.208,0,4,0,2,1,5,0,1
-3.204,6,2,0,2,0,10,0,-3
-3.2,6,-3,-8,-1,1,-2,1,1
-3.196,-1,0,-7,-5,1,-11,-2,3
-3.192,-3,5,4,-1,0,1,-2,1
-3.188,-1,5,10,3,2,6,0,0
-3.184,0,-4,3,0,2,2,1,0
-3.18,-1,-7,-2,-2,-1,-3,3,0
